fid,LibraryName,AddressLine1,AddressLine2,AddressLine3,Postcode,Latitude,Longitude,Website
1,Central Library,167 - 171 Armada Way ,,Plymouth ,PL1 1HZ,50.373002,-4.1429763,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/centrallibrary
2,Crownhill Library,"Cross Park Road 
",Crownhill,Plymouth,PL6 5AN,50.406669,-4.1316598,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/crownhilllibrary
3,Devonport Library,"Chapel Street 

",Devonport,Plymouth ,PL1 4DP,50.3721133,-4.1748468,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/devonportlibrary
4,Efford Library,19 Torridge Way,Efford ,Plymouth ,PL3 6JQ,50.3873895,-4.1092284,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/effordlibrary
5,Estover Library,"Tor Bridge High School, Miller Way 
",Estover,Plymouth ,PL6 8UN,50.4106361,-4.1009854,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/estoverlibrary
6,North Prospect Library,"The Beacon, 163 North Prospect Road",North Prospect ,Plymouth ,PL2 2ND,50.3919523,-4.1658357,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/northprospectlibrary
7,Peverell Library,242A Peverell Park Road,Peverell ,Plymouth ,PL3 4QF,50.393474,-4.1448845,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/peverelllibrary
8,Plympton Library,Harewood ,Plympton ,Plymouth ,PL7 2AS,50.3900512,-4.0555331,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymptonlibrary
9,Plymstock Library,"Horn Cross Road, Plymstock",Plymstock ,Plymouth ,PL9 9BU,50.3600407,-4.0889189,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymstocklibrary
10,Southway Library,"351 Southway Drive, ",Southway ,Plymouth ,PL6 6QR,50.4297958,-4.1261228,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/southwaylibrary
11,St Budeaux Library,"The Square, Victoria Road,
",St Budeaux ,Plymouth ,PL5 1RQ,50.4025162,-4.1867369,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/stbudeauxlibrary
12,West Park Library,"423 - 425 Crownhill Road, West Park",West Park,Plymouth ,PL5 2LJ,50.4125776,-4.1667342,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/westparklibrary
